Collection Month Name,Collection Year,Collection Month Number,IMP code,IMP name,DMU Code,DMU Name,Invoice Country Code,Invoice Account Number,Invoice Account Name,Origin Country Code,Destination Country Code,Division Code,Product Code,Product Family Description,Invoice Account City,Invoice Account State,Product Description,Total Net Charge Euro,Real Weight Kg,Payweight Kg,Pieces,Consignments
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,AE,Domestic,15D,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (DOCS),4.417967,0.5,0.5,1,1
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,IQ,International,15D,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (DOCS),65.288602,0.28,0.28,1,1
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,JO,International,15N,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (NON DOCS),352.215769,5.5,14.2,3,3
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,LB,International,15N,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (NON DOCS),117.405257,2,4.6,1,1
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,LY,International,15D,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (DOCS),19.144527,0.15,0.15,1,1
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,SA,International,15N,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (NON DOCS),8024.937826,1436,3448.8,20,14
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,TN,International,15N,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (NON DOCS),776.271542,18,46.6,2,2
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,AE,TR,International,15D,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (DOCS),35.026162,0.5,0.5,1,1
January,2017,1,123456,Example Industries Ltd.,,,AE,AE-Acct Nr. 1,AE-Acct Nr. 1,SE,AE,International,15N,Express,DUBAI HEALTHCARE CITY,DUBAI,EXPRESS (NON DOCS),457.778313,36,36.2,2,1
January,2017,1,123456,Example Industries Ltd.,,,AU,AU-Acct Nr. 2,AU-Acct Nr. 2,AU,AU,Domestic,75,Express,Mount Waverley,VICTORIA,OVERNIGHT FIRST CLASS,52.990386,7,11,5,5
January,2017,1,123456,Example Industries Ltd.,,,AU,AU-Acct Nr. 2,AU-Acct Nr. 2,AU,AU,Domestic,76,Express,Mount Waverley,VICTORIA,EXPRESS,441.275418,152,310,36,23
