Employee ID,Region,Country,Years in company,Function,BusinessUnit
237,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
264,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
313,EMEA,Belgium,2-3 YEARS,Product Operations,BU3
341,EMEA,Belgium,2-3 YEARS,Product Operations,BU2
395,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
417,EMEA,Belgium,2-3 YEARS,Product Operations,BU2
502,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
508,EMEA,Belgium,2-3 YEARS,Product Operations,BU5
559,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
577,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
592,EMEA,Belgium,2-3 YEARS,Product Operations,BU3
633,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
634,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
705,EMEA,Belgium,2-3 YEARS,Product Operations,BU2
708,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
741,EMEA,Belgium,2-3 YEARS,Product Operations,BU2
749,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
783,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
823,EMEA,Belgium,2-3 YEARS,Service Units,BU3
867,EMEA,Belgium,2-3 YEARS,Product Operations,BU3
897,EMEA,Belgium,2-3 YEARS,Product Operations,BU1
923,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
925,EMEA,Belgium,2-3 YEARS,Product Operations,BU2
972,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
974,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
1024,EMEA,Belgium,2-3 YEARS,Service Units,BU3
1042,EMEA,Belgium,2-3 YEARS,Service Units,BU2
1053,EMEA,Belgium,2-3 YEARS,Product Operations,BU3
1055,EMEA,Belgium,2-3 YEARS,Service Units,BU3
1062,EMEA,Belgium,2-3 YEARS,Product Operations,BU4
1167,EMEA,Belgium,MORE THAN 3 YEARS,Product Engineering,BU5
1171,EMEA,Belgium,1-2 YEARS,Service Units,BU1
1202,EMEA,Belgium,1-2 YEARS,Product Operations,BU5
1256,EMEA,Belgium,1-2 YEARS,Service Units,BU4
1272,EMEA,Belgium,MORE THAN 3 YEARS,Product Engineering,BU2
1301,EMEA,Belgium,1-2 YEARS,Product Operations,BU5
1372,EMEA,Belgium,1-2 YEARS,Product Operations,BU4
1395,EMEA,Belgium,1-2 YEARS,Product Operations,BU3
1412,EMEA,Belgium,1-2 YEARS,Product Operations,BU2
1487,EMEA,Belgium,1-2 YEARS,Product Operations,BU3
1496,EMEA,Belgium,1-2 YEARS,Service Units,BU3
1500,EMEA,Belgium,MORE THAN 3 YEARS,Product Engineering,BU3
1519,EMEA,Belgium,MORE THAN 3 YEARS,Product Engineering,BU2
1536,EMEA,Belgium,1-2 YEARS,Product Operations,BU4
1612,EMEA,Belgium,MORE THAN 3 YEARS,Service Units,BU4
1633,EMEA,Belgium,MORE THAN 3 YEARS,Product Operations,BU3
1635,EMEA,Belgium,1-2 YEARS,Service Units,BU3
1666,EMEA,Belgium,1-2 YEARS,Service Units,BU1
